품목,날짜,가격
쌀,201901,53000
쌀,201902,53000
쌀,201903,53000
쌀,201904,54000
쌀,201905,51000
쌀,201906,54000
쌀,201907,49800
쌀,201908,54000
쌀,201909,47800
쌀,201910,54000
쌀,201911,54000
쌀,201912,54000
쌀,202001,54000
쌀,202002,54000
쌀,202003,54000
쌀,202004,54000
쌀,202005,54000
쌀,202006,48800
쌀,202007,54000
쌀,202008,54000
쌀,202009,54000
쌀,202010,54800
쌀,202011,45800
쌀,202012,62500
한우쇠고기,201901,10500
한우쇠고기,201902,9900
한우쇠고기,201903,8500
한우쇠고기,201904,8500
한우쇠고기,201905,9200
한우쇠고기,201906,10800
한우쇠고기,201907,12600
한우쇠고기,201908,9200
한우쇠고기,201909,11000
한우쇠고기,201910,12000
한우쇠고기,201911,10600
한우쇠고기,201912,11000
한우쇠고기,202001,12000
한우쇠고기,202002,13600
한우쇠고기,202003,14400
한우쇠고기,202004,11400
한우쇠고기,202005,12800
한우쇠고기,202006,11400
한우쇠고기,202007,12800
한우쇠고기,202008,14200
한우쇠고기,202009,15200
한우쇠고기,202010,15200
한우쇠고기,202011,17900
한우쇠고기,202012,15800
돼지고기,201901,1350
돼지고기,201902,1490
돼지고기,201903,1840
돼지고기,201904,2190
돼지고기,201905,2290
돼지고기,201906,2290
돼지고기,201907,2690
돼지고기,201908,2080
돼지고기,201909,2580
돼지고기,201910,2980
돼지고기,201911,2080
돼지고기,201912,2380
돼지고기,202001,2480
돼지고기,202002,6990
돼지고기,202003,1590
돼지고기,202004,1980
돼지고기,202005,2280
돼지고기,202006,1690
돼지고기,202007,2480
돼지고기,202008,2780
돼지고기,202009,2780
돼지고기,202010,3890
돼지고기,202011,2280
돼지고기,202012,2480
